ID,SQ,SG,sex,group,BM,BH,SH,CA,dAPHV,APHV,0-10m,10-30m,0-30m,30-60m,0-60m,FOST,TH,CMJ,DJ,12MR,FJT,SUs,SUb
1170,LK,0,m,J,63,178,92,15.16,1.62,13.55,1.65,2.42,4.08,3.45,7.54,11.96,9.83,42,1.4,2750,17,6,
1172,NK1,3,f,J,44.1,163,81.5,14.62,1.82,12.8,1.81,2.58,4.38,3.65,8.03,11.36,8.57,39.5,1.02,2500,15.15,7,
1173,NK1,3,m,J,74,192,99,15.65,2.9,12.75,1.72,2.44,4.18,3.41,7.58,13.66,9.2,57.4,1.51,,,11,
1176,LK,1,f,J,59,168,88,15.07,2.69,12.39,1.83,2.38,4.23,3.39,7.62,13,7.04,45.8,2.05,,15.45,,
1177,LK,1,f,J,64,173,89,17.26,4.1,13.16,1.77,,,,7.64,13.2,9.18,51.92,1.9,,14.75,,
1179,NK2,2,m,J,65,184.6,99.6,15.09,2.58,12.52,,,4.07,3.26,7.33,13.55,,49.4,2.39,,,,22
1180,LK,0,f,J,49.5,173,89,13.92,2.21,11.71,1.83,2.82,4.65,4.13,8.78,10.15,7.45,35.76,1.49,2170,13.49,2,2
1184,PK,4,m,J,74.8,188,97,16.49,3.11,13.38,1.5,2.18,3.68,2.96,6.64,16.02,11.13,63,2.6,3045,19.06,,17
1189,NK2,0,f,J,59.6,174.2,91.8,15.23,3.2,12.04,1.72,2.47,4.23,3.65,7.89,12.84,9.65,49.4,2.07,2280,16.28,,22.5
1198,LK,0,f,J,58.6,174,89,14.62,2.7,11.92,1.86,2.57,4.43,3.67,8.1,13.85,8.7,37,1.27,2730,15.17,4,
1199,LK,0,f,J,54.1,164.5,86.8,15.75,2.84,12.91,1.81,2.54,4.35,3.66,8.01,11.18,8.01,39.8,1.16,2650,13,17,
1200,NK2,0,f,J,64.7,165,92,14.41,2.48,11.92,1.72,2.59,4.31,3.79,8.1,12.35,8.7,41.5,2.38,2200,16.15,2,10
1202,NK2,2,m,J,72.2,187.8,95.7,15.3,2.25,13.05,,,,,,15.03,,50.7,1.77,,,,23
1203,LK,0,f,J,61.5,175,93,15.06,3.2,11.86,2.03,2.63,4.67,3.75,8.42,11.96,8.8,38.3,1.63,2380,15.3,15,
1204,LK,0,f,J,61.8,165,89,14.75,2.49,12.26,1.77,2.74,4.51,3.96,8.47,11.9,8.54,42.9,1.75,2650,14.63,8,8
1210,LK,0,f,J,56.9,176,94,15.02,3.25,11.77,1.78,2.63,4.41,3.8,8.26,11.99,8.5,37,1.52,2610,14.9,20,
1211,LK,1,f,J,57.8,170,89,18.03,4.41,13.62,1.74,2.49,4.23,3.55,7.81,12.88,9.66,46.1,1.99,2200,15.97,25,
1213,NK2,2,m,J,77.5,191.7,99.6,15.63,3.01,12.61,,,4.03,3.16,7.19,15.52,,54.7,2.08,,,,15.5
1214,PK,4,f,J,57.6,169,90.9,15.24,2.96,12.28,,,4.28,3.43,7.71,,7.16,45.6,2.23,,,,23
1215,LK,0,m,J,61.4,185.5,96,14.45,1.71,12.74,1.72,2.3,4.02,3.48,7.5,12.9,7.68,44.6,1.3,2570,,8,
1220,LK,1,m,J,67.5,171,91,16.9,2.49,14.41,,,,,,14.4,8.85,49,,2850,10.6,,12
1221,LK,0,f,J,55,165,88,14.62,2.32,12.3,1.88,2.71,4.59,3.91,8.5,8.95,6.15,33.1,2.31,2080,13.66,4,4
1224,LK,0,f,J,55.2,171,93,14.72,2.84,11.89,1.91,2.7,4.63,3.95,8.58,10.15,7.34,42.6,1.63,,13.23,13,
1226,LK,0,m,J,73.05,186,94,16.68,2.77,13.91,1.68,2.28,3.96,3.22,7.19,16.48,10.26,54.5,2.1,2690,17.31,9,1
1227,NK1,3,f,J,55.1,172.5,90.7,15.81,3.38,12.43,,,4.17,3.46,7.63,,6.73,44.4,2.04,,,,
1228,LK,1,m,J,67,179,96,15.24,2.23,13.01,,,,3.22,,16.48,7.86,,0.99,,17.83,11,
1229,LK,0,f,J,51.4,169,84,12.97,1.33,11.65,1.75,2.6,4.35,3.8,8.15,11.05,8.38,37.7,1.43,2535,14.45,10,
