"","sex","CAc","APHV_resid.trend","SE","df","lower.CL","upper.CL","name"
"137","f",2.59005056890013,0.0433905516802476,0.0319352862755273,557.627564947646,-0.0193376093901749,0.10611871275067,"12MR"
"138","m",2.59005056890013,0.0153310249974883,0.0299813684701168,494.164661277458,-0.0435756521861718,0.0742377021811484,"12MR"
"139","f",3.59005056890013,0.0679127130334528,0.0418892118755996,555.711765775058,-0.0143678374147115,0.150193263481617,"12MR"
"140","m",3.59005056890013,0.0280068594093164,0.0408199131191824,470.678107920687,-0.0522049582311316,0.108218677049764,"12MR"
"141","f",-2.40994943109987,0.0746252589647826,0.0207615675274664,680.051420117673,0.0338607834324377,0.115389734497128,"FJT"
"142","m",-2.40994943109987,-0.0439453512149734,0.0286481003194005,616.076113354733,-0.100205122192366,0.0123144197624195,"FJT"
"143","f",-1.40994943109987,0.0568241754094608,0.0144968523873315,678.56950609204,0.0283600970297553,0.0852882537891663,"FJT"
"144","m",-1.40994943109987,-0.0242661149891478,0.0205836704522892,657.504937515425,-0.0646837679947892,0.0161515380164936,"FJT"
"145","f",-0.409949431099873,0.0390230918541389,0.0105495968777552,587.687213525205,0.0183035908389207,0.0597425928693571,"FJT"
"146","m",-0.409949431099873,-0.00458687876332223,0.0139332769265843,677.870017238478,-0.0319444462655975,0.022770688738953,"FJT"
"147","f",0.590050568900127,0.0212220082988171,0.011595192177223,611.918634677479,-0.00154919025250341,0.0439932068501375,"FJT"
"148","m",0.590050568900127,0.0150923574625033,0.0114917275369615,631.100589447243,-0.00747429293444766,0.0376590078594543,"FJT"
"149","f",1.59005056890013,0.00342092474349521,0.0167219075218964,679.809210924561,-0.0294118670066069,0.0362537164935973,"FJT"
"150","m",1.59005056890013,0.0347715936883289,0.0154096812718844,676.076604971447,0.00451500738653291,0.0650281799901249,"FJT"
"151","f",2.59005056890013,-0.0143801588118266,0.0233840784063753,682.256418302428,-0.0602935609738624,0.0315332433502091,"FJT"
"152","m",2.59005056890013,0.0544508299141545,0.022590520827657,612.974891434914,0.0100866252839404,0.0988150345443686,"FJT"
"153","f",3.59005056890013,-0.0321812423671485,0.0305945628643504,675.877413295919,-0.0922530572604808,0.0278905725261838,"FJT"
"154","m",3.59005056890013,0.07413006613998,0.030833096906976,578.628675868009,0.013571636305719,0.134688495974241,"FJT"
"155","f",-2.40994943109987,-0.00530021878916036,0.187984957929786,469.387288665907,-0.374696449948682,0.364096012370361,"SUs"
"156","m",-2.40994943109987,-0.683661894324918,0.246163817596115,458.107488289719,-1.16741216708518,-0.199911621564659,"SUs"
"157","f",-1.40994943109987,-0.094259131399752,0.131297694869382,472.111806344802,-0.352259296162327,0.163741033362823,"SUs"
"158","m",-1.40994943109987,-0.496282108585752,0.174902779934715,468.627230041624,-0.839972898096448,-0.152591319075057,"SUs"
"159","f",-0.409949431099873,-0.183218044010344,0.092654746652063,428.180292505043,-0.365332780164904,-0.00110330785578283,"SUs"
"160","m",-0.409949431099873,-0.308902322846587,0.116727456229864,467.329093381612,-0.538277980277475,-0.079526665415699,"SUs"
"161","f",0.590050568900127,-0.272176956620935,0.0968286972198715,428.67534334903,-0.462495052144716,-0.0818588610971545,"SUs"
"162","m",0.590050568900127,-0.121522537107422,0.0984864199801372,444.549731910417,-0.31507934032362,0.0720342661087767,"SUs"
"163","f",1.59005056890013,-0.361135869231527,0.140042023201723,470.430693313491,-0.636321179503346,-0.0859505589597069,"SUs"
"164","m",1.59005056890013,0.0658572486317437,0.137163442931119,472.989693733351,-0.203667834075059,0.335382331338547,"SUs"
"165","f",2.59005056890013,-0.450094781842118,0.198224158589616,471.853374712168,-0.839606095161471,-0.060583468522766,"SUs"
"166","m",2.59005056890013,0.253237034370909,0.202405544653644,462.585093759628,-0.144511213064208,0.650985281806026,"SUs"
"167","f",3.59005056890013,-0.53905369445271,0.261570149221362,467.905480429658,-1.05305130034732,-0.0250560885581023,"SUs"
"168","m",3.59005056890013,0.440616820110074,0.275974923154195,453.671401639827,-0.10173096922873,0.982964609448879,"SUs"
"169","f",-2.40994943109987,-0.214807432458546,0.298192115104827,275.477533258975,-0.801832243299298,0.372217378382207,"SUb"
"170","m",-2.40994943109987,-0.737729099896904,0.416221104291342,287.700368259132,-1.55695371763856,0.081495517844751,"SUb"
"171","f",-1.40994943109987,-0.299203431622896,0.203585869173173,294.426197316909,-0.69987139831702,0.101464535071228,"SUb"
